Index,Occupation title (click on the occupation title to view its profile),Year,Employment,Average hourly wage,Industry average,Similar occupation average
521,"Office and Administrative Support Occupations - Information and Record Clerks - Information and Record Clerks, All Other",2021,155080,$21.13,$20.88,$18.59
522,"Office and Administrative Support Occupations - Material Recording, Scheduling, Dispatching, and Distributing Workers - Cargo and Freight Agents",2021,85750,$23.28,$20.88,$21.97
523,"Office and Administrative Support Occupations - Material Recording, Scheduling, Dispatching, and Distributing Workers - Couriers and Messengers",2021,68310,$16.48,$20.88,$21.97
524,"Office and Administrative Support Occupations - Material Recording, Scheduling, Dispatching, and Distributing Workers - Public Safety Telecommunicators",2021,97050,$22.61,$20.88,$21.97
525,"Office and Administrative Support Occupations - Material Recording, Scheduling, Dispatching, and Distributing Workers - Dispatchers, Except Police, Fire, and Ambulance",2021,194330,$22.43,$20.88,$21.97
526,"Office and Administrative Support Occupations - Material Recording, Scheduling, Dispatching, and Distributing Workers - Meter Readers, Utilities",2021,24000,$22.81,$20.88,$21.97
527,"Office and Administrative Support Occupations - Material Recording, Scheduling, Dispatching, and Distributing Workers - Postal Service Clerks",2021,79320,$25.58,$20.88,$21.97
528,"Office and Administrative Support Occupations - Material Recording, Scheduling, Dispatching, and Distributing Workers - Postal Service Mail Carriers",2021,335540,$26.14,$20.88,$21.97
529,"Office and Administrative Support Occupations - Material Recording, Scheduling, Dispatching, and Distributing Workers - Postal Service Mail Sorters, Processors, and Processing Machine Operators",2021,112130,$24.52,$20.88,$21.97
530,"Office and Administrative Support Occupations - Material Recording, Scheduling, Dispatching, and Distributing Workers - Production, Planning, and Expediting Clerks",2021,367200,$25.11,$20.88,$21.97
531,"Office and Administrative Support Occupations - Material Recording, Scheduling, Dispatching, and Distributing Workers - Shipping, Receiving, and Inventory Clerks",2021,795360,$18.37,$20.88,$21.97
532,"Office and Administrative Support Occupations - Material Recording, Scheduling, Dispatching, and Distributing Workers - Weighers, Measurers, Checkers, and Samplers, Recordkeeping",2021,54760,$19.01,$20.88,$21.97
