Index,Occupation title (click on the occupation title to view its profile),Year,Employment,Average hourly wage,Industry average,Similar occupation average
225,"Educational Instruction and Library Occupations - Postsecondary Teachers - Art, Drama, and Music Teachers, Postsecondary",2021,94720,NaN,$29.88,NaN
226,"Educational Instruction and Library Occupations - Postsecondary Teachers - Communications Teachers, Postsecondary",2021,27330,NaN,$29.88,NaN
227,"Educational Instruction and Library Occupations - Postsecondary Teachers - English Language and Literature Teachers, Postsecondary",2021,58480,NaN,$29.88,NaN
228,"Educational Instruction and Library Occupations - Postsecondary Teachers - Foreign Language and Literature Teachers, Postsecondary",2021,19640,NaN,$29.88,NaN
229,"Educational Instruction and Library Occupations - Postsecondary Teachers - History Teachers, Postsecondary",2021,18590,NaN,$29.88,NaN
230,"Educational Instruction and Library Occupations - Postsecondary Teachers - Philosophy and Religion Teachers, Postsecondary",2021,20850,NaN,$29.88,NaN
231,"Educational Instruction and Library Occupations - Postsecondary Teachers - Family and Consumer Sciences Teachers, Postsecondary",2021,2730,NaN,$29.88,NaN
232,"Educational Instruction and Library Occupations - Postsecondary Teachers - Recreation and Fitness Studies Teachers, Postsecondary",2021,13860,NaN,$29.88,NaN
233,"Educational Instruction and Library Occupations - Postsecondary Teachers - Career/Technical Education Teachers, Postsecondary",2021,105440,$30.35,$29.88,NaN
234,"Educational Instruction and Library Occupations - Postsecondary Teachers - Postsecondary Teachers, All Other",2021,199020,NaN,$29.88,NaN
235,"Educational Instruction and Library Occupations - Preschool, Elementary, Middle, Secondary, and Special Education Teachers - Preschool Teachers, Except Special Education",2021,391670,$17.53,$29.88,NaN
236,"Educational Instruction and Library Occupations - Preschool, Elementary, Middle, Secondary, and Special Education Teachers - Kindergarten Teachers, Except Special Education",2021,120730,NaN,$29.88,NaN
237,"Educational Instruction and Library Occupations - Preschool, Elementary, Middle, Secondary, and Special Education Teachers - Elementary School Teachers, Except Special Education",2021,1329280,NaN,$29.88,NaN
238,"Educational Instruction and Library Occupations - Preschool, Elementary, Middle, Secondary, and Special Education Teachers - Middle School Teachers, Except Special and Career/Technical Education",2021,592000,NaN,$29.88,NaN
239,"Educational Instruction and Library Occupations - Preschool, Elementary, Middle, Secondary, and Special Education Teachers - Career/Technical Education Teachers, Middle School",2021,11840,NaN,$29.88,NaN
240,"Educational Instruction and Library Occupations - Preschool, Elementary, Middle, Secondary, and Special Education Teachers - Secondary School Teachers, Except Special and Career/Technical Education",2021,1020240,NaN,$29.88,NaN
241,"Educational Instruction and Library Occupations - Preschool, Elementary, Middle, Secondary, and Special Education Teachers - Career/Technical Education Teachers, Secondary School",2021,84360,NaN,$29.88,NaN
242,"Educational Instruction and Library Occupations - Preschool, Elementary, Middle, Secondary, and Special Education Teachers - Special Education Teachers, Preschool",2021,21130,NaN,$29.88,NaN
243,"Educational Instruction and Library Occupations - Preschool, Elementary, Middle, Secondary, and Special Education Teachers - Special Education Teachers, Kindergarten and Elementary School",2021,187070,NaN,$29.88,NaN
244,"Educational Instruction and Library Occupations - Preschool, Elementary, Middle, Secondary, and Special Education Teachers - Special Education Teachers, Middle School",2021,79070,NaN,$29.88,NaN
245,"Educational Instruction and Library Occupations - Preschool, Elementary, Middle, Secondary, and Special Education Teachers - Special Education Teachers, Secondary School",2021,145690,NaN,$29.88,NaN
246,"Educational Instruction and Library Occupations - Preschool, Elementary, Middle, Secondary, and Special Education Teachers - Special Education Teachers, All Other",2021,38000,NaN,$29.88,NaN
247,"Educational Instruction and Library Occupations - Other Teachers and Instructors - Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",2021,38260,$29.16,$29.88,$22.35
248,Educational Instruction and Library Occupations - Other Teachers and Instructors - Self Enrichment Teachers,2021,216910,$23.67,$29.88,$22.35
249,"Educational Instruction and Library Occupations - Other Teachers and Instructors - Substitute Teachers, Short Term",2021,374620,$18.47,$29.88,$22.35
250,Educational Instruction and Library Occupations - Other Teachers and Instructors - Tutors,2021,147100,$20.09,$29.88,$22.35
251,"Educational Instruction and Library Occupations - Other Teachers and Instructors - Teachers and Instructors, All Other",2021,164650,NaN,$29.88,$22.35
252,"Educational Instruction and Library Occupations - Librarians, Curators, and Archivists - Archivists",2021,6120,$29.75,$29.88,$26.69
253,"Educational Instruction and Library Occupations - Librarians, Curators, and Archivists - Curators",2021,11030,$30.71,$29.88,$26.69
254,"Educational Instruction and Library Occupations - Librarians, Curators, and Archivists - Museum Technicians and Conservators",2021,10960,$25.02,$29.88,$26.69
255,"Educational Instruction and Library Occupations - Librarians, Curators, and Archivists - Librarians and Media Collections Specialists",2021,127790,$30.86,$29.88,$26.69
256,"Educational Instruction and Library Occupations - Librarians, Curators, and Archivists - Library Technicians",2021,73000,$18.79,$29.88,$26.69
257,Educational Instruction and Library Occupations - Other Educational Instruction and Library Occupations - Farm and Home Management Educators,2021,10620,$27.90,$29.88,NaN
258,Educational Instruction and Library Occupations - Other Educational Instruction and Library Occupations - Instructional Coordinators,2021,184740,$33.92,$29.88,NaN
259,"Educational Instruction and Library Occupations - Other Educational Instruction and Library Occupations - Teaching Assistants, Postsecondary",2021,121290,NaN,$29.88,NaN
260,"Educational Instruction and Library Occupations - Other Educational Instruction and Library Occupations - Teaching Assistants, Except Postsecondary",2021,1187270,NaN,$29.88,NaN
261,"Educational Instruction and Library Occupations - Other Educational Instruction and Library Occupations - Educational Instruction and Library Workers, All Other",2021,155950,$23.87,$29.88,NaN
262,"Arts, Design, Entertainment, Sports, and Media Occupations - Art and Design Workers - Art Directors",2021,42080,$55.50,$31.78,$28.32
263,"Arts, Design, Entertainment, Sports, and Media Occupations - Art and Design Workers - Craft Artists",2021,3740,$19.58,$31.78,$28.32
264,"Arts, Design, Entertainment, Sports, and Media Occupations - Art and Design Workers - Fine Artists, Including Painters, Sculptors, and Illustrators",2021,9430,$33.18,$31.78,$28.32
265,"Arts, Design, Entertainment, Sports, and Media Occupations - Art and Design Workers - Special Effects Artists and Animators",2021,20430,$41.45,$31.78,$28.32
266,"Arts, Design, Entertainment, Sports, and Media Occupations - Art and Design Workers - Artists and Related Workers, All Other",2021,7390,$32.33,$31.78,$28.32
267,"Arts, Design, Entertainment, Sports, and Media Occupations - Art and Design Workers - Commercial and Industrial Designers",2021,27940,$38.31,$31.78,$28.32
268,"Arts, Design, Entertainment, Sports, and Media Occupations - Art and Design Workers - Fashion Designers",2021,19310,$40.22,$31.78,$28.32
269,"Arts, Design, Entertainment, Sports, and Media Occupations - Art and Design Workers - Floral Designers",2021,36000,$15.43,$31.78,$28.32
270,"Arts, Design, Entertainment, Sports, and Media Occupations - Art and Design Workers - Graphic Designers",2021,204040,$28.83,$31.78,$28.32
271,"Arts, Design, Entertainment, Sports, and Media Occupations - Art and Design Workers - Interior Designers",2021,61970,$30.08,$31.78,$28.32
272,"Arts, Design, Entertainment, Sports, and Media Occupations - Art and Design Workers - Merchandise Displayers and Window Trimmers",2021,159790,$17.08,$31.78,$28.32
273,"Arts, Design, Entertainment, Sports, and Media Occupations - Art and Design Workers - Set and Exhibit Designers",2021,6850,$30.27,$31.78,$28.32
274,"Arts, Design, Entertainment, Sports, and Media Occupations - Art and Design Workers - Designers, All Other",2021,10190,$35.33,$31.78,$28.32
275,"Arts, Design, Entertainment, Sports, and Media Occupations - Entertainers and Performers, Sports and Related Workers - Actors",2021,30100,$31.31,$31.78,$34.55
276,"Arts, Design, Entertainment, Sports, and Media Occupations - Entertainers and Performers, Sports and Related Workers - Producers and Directors",2021,138250,$49.01,$31.78,$34.55
277,"Arts, Design, Entertainment, Sports, and Media Occupations - Entertainers and Performers, Sports and Related Workers - Athletes and Sports Competitors",2021,12320,NaN,$31.78,$34.55
278,"Arts, Design, Entertainment, Sports, and Media Occupations - Entertainers and Performers, Sports and Related Workers - Coaches and Scouts",2021,193740,NaN,$31.78,$34.55
279,"Arts, Design, Entertainment, Sports, and Media Occupations - Entertainers and Performers, Sports and Related Workers - Umpires, Referees, and Other Sports Officials",2021,9620,NaN,$31.78,$34.55
280,"Arts, Design, Entertainment, Sports, and Media Occupations - Entertainers and Performers, Sports and Related Workers - Dancers",2021,3850,$24.49,$31.78,$34.55
281,"Arts, Design, Entertainment, Sports, and Media Occupations - Entertainers and Performers, Sports and Related Workers - Choreographers",2021,3990,$23.86,$31.78,$34.55
282,"Arts, Design, Entertainment, Sports, and Media Occupations - Entertainers and Performers, Sports and Related Workers - Music Directors and Composers",2021,9560,$31.29,$31.78,$34.55
283,"Arts, Design, Entertainment, Sports, and Media Occupations - Entertainers and Performers, Sports and Related Workers - Musicians and Singers",2021,24080,$41.46,$31.78,$34.55
284,"Arts, Design, Entertainment, Sports, and Media Occupations - Entertainers and Performers, Sports and Related Workers - Disc Jockeys, Except Radio",2021,4770,$21.82,$31.78,$34.55
285,"Arts, Design, Entertainment, Sports, and Media Occupations - Entertainers and Performers, Sports and Related Workers - Entertainers and Performers, Sports and Related Workers, All Other",2021,8300,$24.62,$31.78,$34.55
286,"Arts, Design, Entertainment, Sports, and Media Occupations - Media and Communication Workers - Broadcast Announcers and Radio Disc Jockeys",2021,24580,$26.97,$31.78,$34.50
287,"Arts, Design, Entertainment, Sports, and Media Occupations - Media and Communication Workers - News Analysts, Reporters, and Journalists",2021,39080,$30.40,$31.78,$34.50
288,"Arts, Design, Entertainment, Sports, and Media Occupations - Media and Communication Workers - Public Relations Specialists",2021,242710,$35.22,$31.78,$34.50
289,"Arts, Design, Entertainment, Sports, and Media Occupations - Media and Communication Workers - Editors",2021,88780,$36.73,$31.78,$34.50
290,"Arts, Design, Entertainment, Sports, and Media Occupations - Media and Communication Workers - Technical Writers",2021,47620,$39.17,$31.78,$34.50
291,"Arts, Design, Entertainment, Sports, and Media Occupations - Media and Communication Workers - Writers and Authors",2021,49410,$39.00,$31.78,$34.50
292,"Arts, Design, Entertainment, Sports, and Media Occupations - Media and Communication Workers - Interpreters and Translators",2021,52170,$28.08,$31.78,$34.50
293,"Arts, Design, Entertainment, Sports, and Media Occupations - Media and Communication Workers - Court Reporters and Simultaneous Captioners",2021,12300,$31.36,$31.78,$34.50
294,"Arts, Design, Entertainment, Sports, and Media Occupations - Media and Communication Workers - Media and Communication Workers, All Other",2021,16540,$28.56,$31.78,$34.50
295,"Arts, Design, Entertainment, Sports, and Media Occupations - Media and Communication Equipment Workers - Audio and Video Technicians",2021,50590,$26.59,$31.78,$28.35
296,"Arts, Design, Entertainment, Sports, and Media Occupations - Media and Communication Equipment Workers - Broadcast Technicians",2021,25270,$24.66,$31.78,$28.35
297,"Arts, Design, Entertainment, Sports, and Media Occupations - Media and Communication Equipment Workers - Sound Engineering Technicians",2021,10800,$32.38,$31.78,$28.35
298,"Arts, Design, Entertainment, Sports, and Media Occupations - Media and Communication Equipment Workers - Lighting Technicians",2021,4280,$27.89,$31.78,$28.35
299,"Arts, Design, Entertainment, Sports, and Media Occupations - Media and Communication Equipment Workers - Photographers",2021,38420,$23.18,$31.78,$28.35
300,"Arts, Design, Entertainment, Sports, and Media Occupations - Media and Communication Equipment Workers - Camera Operators, Television, Video, and Film",2021,20280,$29.69,$31.78,$28.35
301,"Arts, Design, Entertainment, Sports, and Media Occupations - Media and Communication Equipment Workers - Film and Video Editors",2021,28030,$36.54,$31.78,$28.35
302,"Arts, Design, Entertainment, Sports, and Media Occupations - Media and Communication Equipment Workers - Media and Communication Equipment Workers, All Other",2021,16670,$33.31,$31.78,$28.35
303,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Chiropractors,2021,35810,$39.06,$43.80,$53.92
304,"Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Dentists, General",2021,108680,$80.37,$43.80,$53.92
305,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Oral and Maxillofacial Surgeons,2021,5330,$149.74,$43.80,$53.92
306,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Orthodontists,2021,5140,$128.50,$43.80,$53.92
307,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Prosthodontists,2021,790,$69.10,$43.80,$53.92
308,"Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Dentists, All Other Specialists",2021,4750,$86.25,$43.80,$53.92
309,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Dietitians and Nutritionists,2021,66690,$31.55,$43.80,$53.92
310,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Optometrists,2021,38720,$60.31,$43.80,$53.92
311,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Pharmacists,2021,312550,$60.43,$43.80,$53.92
312,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Physician Assistants,2021,132940,$57.43,$43.80,$53.92
313,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Podiatrists,2021,8840,$76.15,$43.80,$53.92
314,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Occupational Therapists,2021,127830,$43.02,$43.80,$53.92
315,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Physical Therapists,2021,225350,$44.67,$43.80,$53.92
316,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Radiation Therapists,2021,16050,$45.19,$43.80,$53.92
317,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Recreational Therapists,2021,16980,$25.91,$43.80,$53.92
318,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Respiratory Therapists,2021,133410,$32.78,$43.80,$53.92
319,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Speech Language Pathologists,2021,147470,$41.26,$43.80,$53.92
320,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Exercise Physiologists,2021,6860,$25.98,$43.80,$53.92
321,"Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Therapists, All Other",2021,13490,$31.26,$43.80,$53.92
322,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Veterinarians,2021,77260,$52.84,$43.80,$53.92
323,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Registered Nurses,2021,3047530,$39.78,$43.80,$53.92
324,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Nurse Anesthetists,2021,43950,$97.34,$43.80,$53.92
325,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Nurse Midwives,2021,7750,$54.91,$43.80,$53.92
326,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Nurse Practitioners,2021,234690,$56.75,$43.80,$53.92
327,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Audiologists,2021,13240,$41.37,$43.80,$53.92
328,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Anesthesiologists,2021,31130,$159.22,$43.80,$53.92
329,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Cardiologists,2021,18610,$170.18,$43.80,$53.92
330,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Dermatologists,2021,9230,$145.55,$43.80,$53.92
331,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Emergency Medicine Physicians,2021,36180,$149.35,$43.80,$53.92
332,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Family Medicine Physicians,2021,102930,$113.43,$43.80,$53.92
333,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - General Internal Medicine Physicians,2021,58260,$116.44,$43.80,$53.92
334,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Neurologists,2021,7120,$128.68,$43.80,$53.92
335,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Obstetricians and Gynecologists,2021,21570,$142.41,$43.80,$53.92
336,"Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Pediatricians, General",2021,33620,$95.40,$43.80,$53.92
337,"Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Physicians, Pathologists",2021,11010,$128.45,$43.80,$53.92
338,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Psychiatrists,2021,25520,$120.08,$43.80,$53.92
339,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Radiologists,2021,29530,$145.06,$43.80,$53.92
340,"Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Physicians, All Other",2021,256670,$111.30,$43.80,$53.92
341,"Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Ophthalmologists, Except Pediatric",2021,11610,$129.85,$43.80,$53.92
342,"Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Orthopedic Surgeons, Except Pediatric",2021,16260,$147.22,$43.80,$53.92
343,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Pediatric Surgeons,2021,820,$139.57,$43.80,$53.92
344,"Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Surgeons, All Other",2021,29590,$143.17,$43.80,$53.92
345,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Acupuncturists,2021,7250,$34.51,$43.80,$53.92
346,Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Dental Hygienists,2021,207190,$39.12,$43.80,$53.92
347,"Healthcare Practitioners and Technical Occupations - Healthcare Diagnosing or Treating Practitioners - Healthcare Diagnosing or Treating Practitioners, All Other",2021,26250,$54.44,$43.80,$53.92
348,Healthcare Practitioners and Technical Occupations - Health Technologists and Technicians - Cardiovascular Technologists and Technicians,2021,55760,$29.82,$43.80,$24.18
349,Healthcare Practitioners and Technical Occupations - Health Technologists and Technicians - Diagnostic Medical Sonographers,2021,78640,$38.79,$43.80,$24.18
350,Healthcare Practitioners and Technical Occupations - Health Technologists and Technicians - Nuclear Medicine Technologists,2021,17140,$40.79,$43.80,$24.18
351,Healthcare Practitioners and Technical Occupations - Health Technologists and Technicians - Radiologic Technologists and Technicians,2021,216380,$31.97,$43.80,$24.18
352,Healthcare Practitioners and Technical Occupations - Health Technologists and Technicians - Magnetic Resonance Imaging Technologists,2021,38070,$37.41,$43.80,$24.18
353,Healthcare Practitioners and Technical Occupations - Health Technologists and Technicians - Medical Dosimetrists,2021,2400,$59.98,$43.80,$24.18
354,Healthcare Practitioners and Technical Occupations - Health Technologists and Technicians - Emergency Medical Technicians,2021,161400,$17.64,$43.80,$24.18
355,Healthcare Practitioners and Technical Occupations - Health Technologists and Technicians - Paramedics,2021,96510,$23.80,$43.80,$24.18
356,Healthcare Practitioners and Technical Occupations - Health Technologists and Technicians - Dietetic Technicians,2021,21610,$16.42,$43.80,$24.18
357,Healthcare Practitioners and Technical Occupations - Health Technologists and Technicians - Pharmacy Technicians,2021,436630,$18.25,$43.80,$24.18
358,Healthcare Practitioners and Technical Occupations - Health Technologists and Technicians - Psychiatric Technicians,2021,93410,$18.27,$43.80,$24.18
359,Healthcare Practitioners and Technical Occupations - Health Technologists and Technicians - Surgical Technologists,2021,109060,$25.77,$43.80,$24.18
360,Healthcare Practitioners and Technical Occupations - Health Technologists and Technicians - Veterinary Technologists and Technicians,2021,118670,$18.39,$43.80,$24.18
361,Healthcare Practitioners and Technical Occupations - Health Technologists and Technicians - Ophthalmic Medical Technicians,2021,65700,$19.77,$43.80,$24.18
362,Healthcare Practitioners and Technical Occupations - Health Technologists and Technicians - Licensed Practical and Licensed Vocational Nurses,2021,641240,$24.93,$43.80,$24.18
363,Healthcare Practitioners and Technical Occupations - Health Technologists and Technicians - Medical Records Specialists,2021,180570,$23.23,$43.80,$24.18
364,"Healthcare Practitioners and Technical Occupations - Health Technologists and Technicians - Opticians, Dispensing",2021,73270,$20.70,$43.80,$24.18
365,Healthcare Practitioners and Technical Occupations - Health Technologists and Technicians - Orthotists and Prosthetists,2021,10410,$38.38,$43.80,$24.18
366,Healthcare Practitioners and Technical Occupations - Health Technologists and Technicians - Hearing Aid Specialists,2021,10790,$28.83,$43.80,$24.18
367,"Healthcare Practitioners and Technical Occupations - Health Technologists and Technicians - Health Technologists and Technicians, All Other",2021,140770,$23.67,$43.80,$24.18
368,Healthcare Practitioners and Technical Occupations - Other Healthcare Practitioners and Technical Occupations - Health Information Technologists and Medical Registrars,2021,37900,$29.53,$43.80,$29.55
369,Healthcare Practitioners and Technical Occupations - Other Healthcare Practitioners and Technical Occupations - Athletic Trainers,2021,26070,NaN,$43.80,$29.55
370,Healthcare Practitioners and Technical Occupations - Other Healthcare Practitioners and Technical Occupations - Genetic Counselors,2021,2740,$41.65,$43.80,$29.55
371,Healthcare Practitioners and Technical Occupations - Other Healthcare Practitioners and Technical Occupations - Surgical Assistants,2021,17250,$28.45,$43.80,$29.55
372,"Healthcare Practitioners and Technical Occupations - Other Healthcare Practitioners and Technical Occupations - Healthcare Practitioners and Technical Workers, All Other",2021,44100,$31.19,$43.80,$29.55
373,"Healthcare Support Occupations - Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides - Nursing Assistants",2021,1314830,$15.99,$16.02,$14.64
374,"Healthcare Support Occupations - Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides - Orderlies",2021,45160,$16.08,$16.02,$14.64
375,"Healthcare Support Occupations - Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides - Psychiatric Aides",2021,39140,$16.65,$16.02,$14.64
376,Healthcare Support Occupations - Occupational Therapy and Physical Therapist Assistants and Aides - Occupational Therapy Assistants,2021,41980,$30.56,$16.02,$25.91
377,Healthcare Support Occupations - Occupational Therapy and Physical Therapist Assistants and Aides - Occupational Therapy Aides,2021,3370,$18.86,$16.02,$25.91
378,Healthcare Support Occupations - Occupational Therapy and Physical Therapist Assistants and Aides - Physical Therapist Assistants,2021,93660,$29.20,$16.02,$25.91
379,Healthcare Support Occupations - Occupational Therapy and Physical Therapist Assistants and Aides - Physical Therapist Aides,2021,42390,$14.60,$16.02,$25.91
380,Healthcare Support Occupations - Other Healthcare Support Occupations - Massage Therapists,2021,81030,$23.68,$16.02,$18.93
381,Healthcare Support Occupations - Other Healthcare Support Occupations - Dental Assistants,2021,347170,$20.44,$16.02,$18.93
382,Healthcare Support Occupations - Other Healthcare Support Occupations - Medical Assistants,2021,727760,$18.36,$16.02,$18.93
383,Healthcare Support Occupations - Other Healthcare Support Occupations - Medical Equipment Preparers,2021,61170,$20.40,$16.02,$18.93
384,Healthcare Support Occupations - Other Healthcare Support Occupations - Medical Transcriptionists,2021,55830,$16.45,$16.02,$18.93
385,Healthcare Support Occupations - Other Healthcare Support Occupations - Pharmacy Aides,2021,43560,$16.61,$16.02,$18.93
386,Healthcare Support Occupations - Other Healthcare Support Occupations - Veterinary Assistants and Laboratory Animal Caretakers,2021,98970,$15.28,$16.02,$18.93
387,Healthcare Support Occupations - Other Healthcare Support Occupations - Phlebotomists,2021,132750,$18.49,$16.02,$18.93
388,"Healthcare Support Occupations - Other Healthcare Support Occupations - Healthcare Support Workers, All Other",2021,108410,$19.56,$16.02,$18.93
389,Protective Service Occupations - Supervisors of Protective Service Workers - First Line Supervisors of Correctional Officers,2021,54470,$33.53,$25.68,$38.95
390,Protective Service Occupations - Supervisors of Protective Service Workers - First Line Supervisors of Police and Detectives,2021,128230,$47.48,$25.68,$38.95
391,Protective Service Occupations - Supervisors of Protective Service Workers - First Line Supervisors of Firefighting and Prevention Workers,2021,80890,$40.03,$25.68,$38.95
392,Protective Service Occupations - Supervisors of Protective Service Workers - First Line Supervisors of Security Workers,2021,55450,$26.48,$25.68,$38.95
393,"Protective Service Occupations - Supervisors of Protective Service Workers - First Line Supervisors of Protective Service Workers, All Other",2021,23780,$30.73,$25.68,$38.95
394,Protective Service Occupations - Firefighting and Prevention Workers - Firefighters,2021,317310,$26.58,$25.68,$26.88
395,Protective Service Occupations - Firefighting and Prevention Workers - Fire Inspectors and Investigators,2021,14600,$33.50,$25.68,$26.88
396,Protective Service Occupations - Firefighting and Prevention Workers - Forest Fire Inspectors and Prevention Specialists,2021,2770,$26.12,$25.68,$26.88
397,Protective Service Occupations - Law Enforcement Workers - Bailiffs,2021,16420,$25.16,$25.68,$31.91
398,Protective Service Occupations - Law Enforcement Workers - Correctional Officers and Jailers,2021,392600,$25.69,$25.68,$31.91
399,Protective Service Occupations - Law Enforcement Workers - Detectives and Criminal Investigators,2021,107890,$43.45,$25.68,$31.91
400,Protective Service Occupations - Law Enforcement Workers - Fish and Game Wardens,2021,6730,$27.98,$25.68,$31.91
401,Protective Service Occupations - Law Enforcement Workers - Parking Enforcement Workers,2021,7450,$22.14,$25.68,$31.91
402,Protective Service Occupations - Law Enforcement Workers - Police and Sheriff's Patrol Officers,2021,665380,$34.02,$25.68,$31.91
403,Protective Service Occupations - Law Enforcement Workers - Transit and Railroad Police,2021,3590,$33.45,$25.68,$31.91
404,Protective Service Occupations - Other Protective Service Workers - Animal Control Workers,2021,11600,$20.49,$25.68,$17.44
405,Protective Service Occupations - Other Protective Service Workers - Private Detectives and Investigators,2021,28860,$29.31,$25.68,$17.44
406,Protective Service Occupations - Other Protective Service Workers - Gambling Surveillance Officers and Gambling Investigators,2021,9190,$18.31,$25.68,$17.44
407,Protective Service Occupations - Other Protective Service Workers - Security Guards,2021,1057100,$17.23,$25.68,$17.44
408,Protective Service Occupations - Other Protective Service Workers - Crossing Guards and Flaggers,2021,82690,$17.15,$25.68,$17.44
409,"Protective Service Occupations - Other Protective Service Workers - Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",2021,114320,$13.14,$25.68,$17.44
410,Protective Service Occupations - Other Protective Service Workers - Transportation Security Screeners,2021,48320,$22.30,$25.68,$17.44
411,Protective Service Occupations - Other Protective Service Workers - School Bus Monitors,2021,55310,$14.53,$25.68,$17.44
